,timestamp,BVN,GOLD,NEM,KGC,HMY,CDE,GFI
0,2004-01-01,,,,,,,
1,2004-01-02,28.83,22.98,48.64,8.08,16.56,5.9,14.24
2,2004-01-05,29.98,23.4,49.75,8.53,17.03,6.67,14.7
3,2004-01-06,29.55,22.95,48.84,8.18,16.88,6.66,14.5
4,2004-01-07,27.85,22.72,47.44,7.87,16.63,6.13,14.18
5,2004-01-08,28.0,22.62,47.9,7.91,16.77,6.24,14.07
6,2004-01-09,28.45,22.64,48.62,8.13,17.3,6.37,14.42
7,2004-01-12,28.0,22.35,47.5,8.01,17.45,6.4,14.54
8,2004-01-13,26.74,22.03,46.55,7.9,17.13,6.37,14.5
9,2004-01-14,25.7,21.26,44.65,7.39,16.01,6.02,13.9
10,2004-01-15,23.5,20.56,42.59,7.16,15.47,5.83,13.45
11,2004-01-16,23.6,20.82,43.08,7.28,15.85,5.9,13.52
12,2004-01-19,,,,,,,
13,2004-01-20,25.35,21.12,43.73,7.42,16.4,6.23,13.65
14,2004-01-21,24.77,21.02,44.0,7.31,16.78,6.19,13.68
15,2004-01-22,24.9,20.42,42.8,7.2,16.63,6.15,13.73
16,2004-01-23,25.35,20.2,42.25,7.0,16.28,6.03,13.45
17,2004-01-26,25.3,19.94,41.76,6.92,16.15,5.98,13.46
18,2004-01-27,25.51,20.44,42.51,7.1,16.36,6.2,13.7
19,2004-01-28,23.91,19.73,41.72,7.12,15.6,5.93,13.15
20,2004-01-29,22.89,19.34,41.1,6.95,15.12,5.51,12.85
21,2004-01-30,23.4,19.7,41.66,6.99,15.27,5.45,12.87
22,2004-02-02,24.19,19.95,41.86,6.92,15.45,5.42,13.03
23,2004-02-03,25.26,19.85,41.5,7.02,15.7,5.57,12.7
24,2004-02-04,24.25,19.67,41.54,6.87,15.39,5.34,12.55
25,2004-02-05,24.36,19.89,42.15,6.98,15.35,5.39,12.63
26,2004-02-06,25.13,20.62,44.1,7.4,16.4,6.04,13.33
27,2004-02-09,26.32,20.89,44.64,7.47,16.6,6.39,13.46
28,2004-02-10,25.6,20.7,44.3,7.45,16.31,6.37,13.25
29,2004-02-11,26.47,21.35,45.43,7.6,16.92,6.85,13.5
30,2004-02-12,26.69,20.83,44.66,7.44,16.62,6.9,13.07
31,2004-02-13,26.3,20.98,44.26,7.45,16.61,7.14,13.06
32,2004-02-16,,,,,,,
33,2004-02-17,27.55,21.5,45.45,7.65,17.15,7.67,13.4
34,2004-02-18,25.94,20.56,43.63,7.21,16.47,7.18,12.68
35,2004-02-19,25.65,20.55,44.04,7.12,16.19,7.09,12.6
36,2004-02-20,24.66,20.08,42.75,6.89,15.54,6.86,12.08
37,2004-02-23,24.05,19.95,42.31,6.76,15.25,6.51,11.94
38,2004-02-24,25.21,20.59,43.77,7.0,15.58,6.88,12.28
39,2004-02-25,24.45,20.36,43.13,6.85,15.33,6.88,12.29
40,2004-02-26,24.39,20.32,43.49,6.75,15.03,7.02,12.3
41,2004-02-27,24.21,20.45,43.45,6.77,15.05,7.08,12.49
42,2004-03-01,25.26,20.55,43.75,6.84,15.28,7.15,12.45
43,2004-03-02,24.75,20.02,42.26,6.65,15.0,6.91,12.05
44,2004-03-03,24.06,20.17,42.07,6.66,15.32,7.02,12.17
45,2004-03-04,24.45,20.49,42.56,6.7,15.57,7.16,12.44
46,2004-03-05,25.5,21.18,43.96,6.83,16.05,7.41,12.75
47,2004-03-08,25.22,21.62,43.44,6.75,15.57,7.4,12.37
48,2004-03-09,25.37,21.6,43.45,6.8,15.45,7.35,12.42
49,2004-03-10,24.61,21.04,42.33,6.56,15.02,6.92,12.0
50,2004-03-11,24.98,21.2,42.75,6.63,15.26,6.93,12.24
51,2004-03-12,25.7,21.29,42.69,6.59,14.87,7.04,12.0
52,2004-03-15,25.42,20.87,41.99,6.48,14.44,6.62,11.65
53,2004-03-16,25.54,21.54,42.56,6.56,14.44,6.8,11.75
54,2004-03-17,25.57,21.89,43.06,6.74,14.95,6.8,11.95
55,2004-03-18,26.03,22.16,44.31,6.83,15.32,6.95,12.2
56,2004-03-19,26.78,22.23,44.38,6.82,15.35,6.82,12.32
57,2004-03-22,26.81,22.0,44.59,6.76,15.3,6.57,12.22
58,2004-03-23,26.55,22.31,44.68,6.9,15.55,6.73,12.61
59,2004-03-24,26.2,22.14,43.69,6.76,15.05,6.45,12.23
60,2004-03-25,26.39,22.46,45.21,6.98,15.55,6.64,12.6
61,2004-03-26,26.85,22.76,46.15,7.12,15.45,6.61,12.44
62,2004-03-29,27.75,23.19,46.05,7.11,15.7,6.78,12.75
63,2004-03-30,28.26,23.56,46.71,7.21,15.6,6.91,13.11
64,2004-03-31,28.9,23.78,46.63,7.33,15.43,7.0,13.15
65,2004-04-01,29.32,23.81,46.75,7.48,15.5,7.02,13.19
66,2004-04-02,28.91,24.1,45.88,7.32,14.96,7.14,13.13
67,2004-04-05,27.66,23.35,44.85,7.22,14.68,6.9,12.67
68,2004-04-06,27.45,23.51,45.3,7.25,14.54,6.82,12.75
69,2004-04-07,28.16,23.7,45.36,7.43,14.39,6.83,12.94
70,2004-04-08,28.0,23.49,45.06,7.26,14.0,6.71,12.95
71,2004-04-09,,,,,,,
72,2004-04-12,27.78,23.61,45.26,7.23,14.03,6.53,12.94
73,2004-04-13,25.06,22.04,42.86,6.84,13.01,5.88,12.28
74,2004-04-14,24.95,21.43,42.64,6.71,12.73,5.69,12.05
75,2004-04-15,24.82,21.77,43.05,6.81,13.0,5.79,12.18
76,2004-04-16,25.52,21.92,43.06,6.74,13.02,5.89,12.12
77,2004-04-19,25.78,21.53,42.43,6.69,13.33,5.86,12.2
78,2004-04-20,24.41,20.71,39.93,6.33,12.32,5.4,11.52
79,2004-04-21,25.2,20.64,39.88,5.95,12.16,5.07,11.22
80,2004-04-22,25.01,21.23,40.68,6.16,12.1,5.14,11.09
81,2004-04-23,24.7,20.86,40.4,6.09,11.97,5.12,11.0
82,2004-04-26,23.8,20.83,40.55,6.12,12.09,5.1,11.01
83,2004-04-27,23.82,20.28,40.19,6.07,12.16,5.13,11.07
84,2004-04-28,21.76,19.02,37.47,5.49,10.99,4.52,10.09
85,2004-04-29,22.5,19.2,37.45,5.55,11.5,4.52,10.27
86,2004-04-30,21.64,19.23,37.4,5.52,11.04,4.63,10.17
87,2004-05-03,21.7,19.16,37.38,5.45,11.28,4.44,10.23
88,2004-05-04,22.6,20.14,39.04,5.88,11.92,5.0,10.93
89,2004-05-05,21.98,19.72,38.61,5.63,11.57,4.95,10.61
90,2004-05-06,21.48,19.32,37.86,5.33,10.8,4.59,10.37
91,2004-05-07,19.9,18.38,35.41,5.06,10.33,4.13,9.93
92,2004-05-10,20.53,18.62,36.33,5.14,10.6,4.27,10.2
93,2004-05-11,20.73,19.05,36.7,5.38,10.73,4.48,10.56
94,2004-05-12,20.31,18.83,36.48,5.31,10.44,4.34,10.3
95,2004-05-13,20.0,18.64,36.19,5.38,10.45,4.16,10.29
96,2004-05-14,20.0,18.79,36.95,5.57,10.58,4.33,10.42
97,2004-05-17,19.9,18.89,37.0,5.68,10.53,4.47,10.58
98,2004-05-18,20.35,19.44,37.54,5.7,10.65,4.6,10.7
99,2004-05-19,21.6,19.8,37.84,5.83,11.0,4.59,10.79
100,2004-05-20,21.45,19.65,37.63,5.86,10.84,4.55,10.77
101,2004-05-21,22.98,19.88,38.4,5.88,11.25,4.65,10.98
102,2004-05-24,23.02,20.17,38.76,6.13,11.55,4.82,11.19
103,2004-05-25,23.35,20.53,39.8,6.05,11.44,4.87,11.22
104,2004-05-26,23.1,20.62,39.78,5.97,11.72,5.03,11.63
105,2004-05-27,23.23,20.99,40.17,6.2,11.84,5.06,11.64
106,2004-05-28,23.43,20.67,39.71,6.15,11.98,4.69,11.63
107,2004-05-31,,,,,,,
108,2004-06-01,22.82,20.52,39.06,5.91,11.54,4.51,11.52
109,2004-06-02,22.96,20.42,38.82,5.76,11.44,4.5,11.29
110,2004-06-03,22.26,20.0,38.48,5.66,11.1,4.4,10.88
111,2004-06-04,23.16,20.23,39.41,5.79,11.16,4.47,11.08
112,2004-06-07,23.18,20.48,39.97,5.86,11.37,4.54,11.31
113,2004-06-08,22.95,20.28,39.49,5.74,11.0,4.35,11.0
114,2004-06-09,20.8,19.32,37.51,5.55,10.23,4.11,10.41
115,2004-06-10,21.47,19.2,37.94,5.53,10.22,4.19,10.37
116,2004-06-11,,,,,,,
117,2004-06-14,20.54,18.76,36.78,5.25,9.26,3.88,10.05
118,2004-06-15,20.59,19.26,37.97,5.39,9.52,3.9,10.27
119,2004-06-16,20.23,19.33,37.99,5.45,9.69,3.91,10.26
120,2004-06-17,20.09,19.58,38.55,5.38,9.9,4.12,10.08
121,2004-06-18,21.27,19.76,39.12,5.64,10.36,4.22,10.55
122,2004-06-21,21.19,19.7,39.0,5.5,10.3,4.1,10.54
123,2004-06-22,21.34,20.08,39.07,5.54,10.64,4.04,10.66
124,2004-06-23,21.32,20.15,38.84,5.53,10.67,3.95,10.71
125,2004-06-24,22.14,20.67,39.7,5.77,10.77,4.1,10.92
126,2004-06-25,21.75,20.52,39.8,5.76,10.87,4.19,10.99
127,2004-06-28,21.71,19.91,38.81,5.5,10.63,4.14,10.66
128,2004-06-29,21.55,19.59,38.08,5.42,10.24,3.98,10.35
129,2004-06-30,22.1,19.75,38.76,5.56,10.59,4.08,10.51
130,2004-07-01,21.83,19.53,38.11,5.53,10.41,4.04,10.4
131,2004-07-02,22.0,20.0,39.16,5.63,10.75,4.27,10.58
132,2004-07-05,,,,,,,
133,2004-07-06,21.68,19.65,39.39,5.6,10.7,4.16,10.38
134,2004-07-07,22.68,20.35,41.12,5.84,11.13,3.98,10.48
135,2004-07-08,23.4,20.78,42.04,5.96,11.19,4.11,10.47
136,2004-07-09,23.4,20.99,42.23,5.9,11.05,4.0,10.42
137,2004-07-12,23.21,20.85,41.49,6.08,11.02,4.02,10.25
138,2004-07-13,23.22,20.74,41.3,5.72,10.97,4.04,10.14
139,2004-07-14,23.02,20.64,41.79,5.64,10.87,4.02,10.09
140,2004-07-15,23.22,20.55,41.9,5.63,10.5,4.06,10.09
141,2004-07-16,23.36,20.64,42.26,5.72,10.14,4.05,9.59
142,2004-07-19,23.27,20.38,41.44,5.78,9.85,4.0,9.25
143,2004-07-20,22.75,20.3,41.4,5.67,9.96,3.95,9.26
144,2004-07-21,21.3,19.75,40.2,5.53,10.1,3.6,9.32
145,2004-07-22,21.08,20.0,40.48,5.56,10.31,3.54,9.48
146,2004-07-23,20.13,19.49,39.0,5.36,10.2,3.35,9.27
147,2004-07-26,20.75,19.31,38.38,5.24,10.02,3.24,9.25
148,2004-07-27,20.8,19.02,38.95,5.2,10.3,3.21,9.41
149,2004-07-28,21.6,18.61,39.4,5.25,10.53,3.37,9.84
150,2004-07-29,21.2,18.87,39.55,5.3,10.85,3.37,10.17
151,2004-07-30,21.53,19.12,40.47,5.31,10.96,3.46,10.26
152,2004-08-02,21.96,19.15,40.42,5.24,10.88,3.3,10.49
153,2004-08-03,21.89,19.3,40.37,5.38,10.99,3.37,10.64
154,2004-08-04,21.15,18.98,39.33,5.23,10.95,3.43,10.7
155,2004-08-05,20.63,18.68,38.6,5.1,10.59,3.2,10.56
156,2004-08-06,21.25,18.86,40.64,5.29,10.85,3.31,10.8
157,2004-08-09,21.23,18.77,40.71,5.25,10.75,3.45,10.58
158,2004-08-10,21.37,18.68,40.82,5.29,10.87,3.4,10.65
159,2004-08-11,20.49,18.47,40.28,5.16,10.53,3.2,10.7
160,2004-08-12,20.69,18.22,40.19,5.05,11.6,3.1,11.59
161,2004-08-13,21.24,18.72,40.92,5.2,12.1,3.25,11.72
162,2004-08-16,21.5,19.1,41.99,5.36,12.37,3.37,11.94
163,2004-08-17,21.79,19.21,41.88,5.51,12.12,3.35,11.95
164,2004-08-18,21.9,19.25,42.27,5.56,12.18,3.49,11.84
165,2004-08-19,22.5,19.97,44.03,5.85,12.59,3.73,12.3
166,2004-08-20,22.83,20.3,44.38,6.2,12.93,3.9,12.76
167,2004-08-23,22.7,19.75,43.77,5.91,12.48,3.76,12.55
168,2004-08-24,21.85,19.49,42.85,5.81,12.0,3.55,12.09
169,2004-08-25,22.83,19.89,44.04,6.09,12.4,3.73,12.5
170,2004-08-26,22.8,19.6,43.87,6.01,12.26,3.61,12.1
171,2004-08-27,22.59,19.9,43.96,6.04,12.49,3.63,12.43
172,2004-08-30,22.02,19.45,43.71,5.94,12.17,3.53,12.06
173,2004-08-31,22.72,20.0,44.39,6.14,12.48,3.6,12.14
174,2004-09-01,22.95,20.25,44.79,6.13,12.54,3.69,12.0
175,2004-09-02,23.05,19.99,44.49,6.13,12.22,3.71,11.9
176,2004-09-03,22.6,19.76,43.66,5.88,11.77,3.66,11.65
177,2004-09-06,,,,,,,
178,2004-09-07,22.93,19.59,43.42,5.85,11.38,3.52,11.44
179,2004-09-08,22.72,19.39,43.05,5.84,11.52,3.42,11.48
180,2004-09-09,22.77,19.49,43.1,5.94,11.91,3.58,11.64
181,2004-09-10,22.64,19.37,43.3,5.89,12.28,3.52,11.89
182,2004-09-13,22.48,19.6,43.4,6.01,12.4,3.63,12.02
183,2004-09-14,22.71,19.86,44.14,6.02,12.88,3.72,12.18
184,2004-09-15,22.5,19.59,43.29,5.91,12.51,3.63,12.16
185,2004-09-16,21.8,19.45,42.78,5.94,12.43,3.57,12.21
186,2004-09-17,21.73,19.4,41.55,5.9,12.6,3.52,12.15
187,2004-09-20,21.55,19.38,41.72,5.88,12.72,3.44,12.48
188,2004-09-21,22.05,19.88,42.89,6.2,13.33,3.65,12.88
189,2004-09-22,21.71,19.86,42.22,6.21,13.4,3.71,12.86
190,2004-09-23,21.89,19.86,42.35,6.29,13.13,3.89,12.8
191,2004-09-24,22.0,19.94,42.34,6.29,12.94,3.9,12.63
192,2004-09-27,21.99,20.0,42.6,6.39,12.76,3.95,12.64
193,2004-09-28,22.89,20.27,44.29,6.6,13.09,4.19,13.14
194,2004-09-29,23.26,20.5,44.28,6.57,13.36,4.49,13.35
195,2004-09-30,23.75,21.04,45.53,6.78,13.62,4.74,13.65
196,2004-10-01,23.45,21.05,45.04,6.61,13.43,4.67,13.61
197,2004-10-04,22.84,21.05,44.64,6.44,12.98,4.56,13.39
198,2004-10-05,24.95,21.68,45.79,6.73,13.56,4.8,13.93
199,2004-10-06,24.9,21.81,46.1,6.82,13.82,4.7,13.78
200,2004-10-07,24.4,21.52,45.6,6.79,13.68,4.59,13.85
201,2004-10-08,25.01,21.68,46.25,6.97,14.11,4.59,14.3
202,2004-10-11,24.67,21.63,45.84,6.76,13.76,4.75,14.19
203,2004-10-12,23.99,20.98,44.5,6.6,13.36,4.46,13.95
204,2004-10-13,23.44,20.34,43.97,6.51,13.01,4.28,13.8
205,2004-10-14,23.61,20.39,44.13,6.51,12.93,4.34,13.79
206,2004-10-15,24.3,20.57,44.78,6.69,12.56,4.44,14.94
207,2004-10-18,23.86,20.39,44.75,6.75,11.5,4.43,14.29
208,2004-10-19,24.23,20.81,44.79,6.84,11.53,4.36,14.3
209,2004-10-20,25.05,21.56,46.2,7.2,11.66,4.65,14.4
210,2004-10-21,25.33,21.38,46.41,7.27,11.99,4.69,14.63
211,2004-10-22,24.91,21.77,46.12,7.34,12.25,4.64,14.75
212,2004-10-25,25.6,22.55,47.66,7.61,12.35,5.09,14.92
213,2004-10-26,25.75,22.5,47.79,7.5,12.55,5.07,14.73
214,2004-10-27,24.84,22.17,46.8,7.17,12.06,4.97,14.4
215,2004-10-28,24.35,22.01,46.54,7.14,11.82,4.81,14.43
216,2004-10-29,24.84,22.51,47.52,7.44,11.8,4.95,14.42
217,2004-11-01,24.43,21.87,46.82,7.02,12.0,4.99,14.5
218,2004-11-02,24.0,21.4,45.81,6.9,11.57,4.75,14.18
219,2004-11-03,24.54,21.88,47.0,7.23,11.5,4.92,14.18
220,2004-11-04,24.07,22.26,47.94,7.66,11.53,5.13,14.11
221,2004-11-05,25.1,22.94,49.05,8.09,11.56,5.21,14.1
222,2004-11-08,24.98,23.15,48.98,8.03,11.27,5.01,13.86
223,2004-11-09,25.31,23.17,49.02,8.16,11.26,5.11,13.9
224,2004-11-10,24.99,22.52,48.35,8.11,11.61,5.14,14.29
225,2004-11-11,24.38,22.65,48.59,8.02,11.14,5.12,14.16
226,2004-11-12,25.85,23.21,49.65,8.37,11.05,4.99,14.18
227,2004-11-15,25.0,22.91,48.88,7.93,10.98,4.73,14.06
228,2004-11-16,24.82,23.35,49.2,8.23,11.3,4.66,14.59
229,2004-11-17,25.02,24.11,49.55,8.23,11.47,4.64,14.94
230,2004-11-18,24.05,24.12,48.63,8.11,11.37,4.52,14.68
231,2004-11-19,24.29,24.83,49.17,8.3,11.48,4.45,14.88
232,2004-11-22,24.38,25.39,49.39,8.29,11.2,4.66,14.75
233,2004-11-23,23.69,24.9,48.35,8.15,10.73,4.51,14.2
234,2004-11-24,24.1,24.62,47.87,8.05,10.56,4.5,14.27
235,2004-11-25,,,,,,,
236,2004-11-26,24.78,25.34,48.99,8.27,10.67,4.69,14.27
237,2004-11-29,24.57,25.39,49.21,8.1,10.61,4.72,14.27
238,2004-11-30,23.5,24.59,47.35,7.93,10.48,4.59,14.12
239,2004-12-01,23.1,24.9,47.17,7.83,10.44,4.55,14.26
240,2004-12-02,22.2,24.04,45.87,7.32,10.4,4.23,14.1
241,2004-12-03,22.03,24.18,46.38,7.6,10.35,4.23,14.0
242,2004-12-06,22.01,23.76,45.95,7.6,10.26,4.03,13.7
243,2004-12-07,21.61,23.58,45.31,7.25,9.67,4.07,13.35
244,2004-12-08,21.26,23.09,44.76,7.23,9.51,4.08,13.1
245,2004-12-09,21.42,23.51,44.95,7.35,9.55,3.97,12.95
246,2004-12-10,21.8,23.2,44.58,7.1,9.41,4.0,12.95
247,2004-12-13,22.45,23.45,45.55,7.24,9.45,4.13,12.94
248,2004-12-14,22.55,23.03,45.67,7.15,9.32,4.08,12.97
249,2004-12-15,23.18,23.45,45.75,7.22,9.35,4.25,13.1
250,2004-12-16,22.49,23.25,44.82,7.0,9.11,3.97,12.78
251,2004-12-17,22.54,23.27,44.65,7.09,9.38,3.98,12.68
252,2004-12-20,22.35,23.56,44.91,7.05,9.15,3.98,12.7
253,2004-12-21,22.98,23.93,45.45,6.97,9.4,3.99,12.75
254,2004-12-22,22.49,23.72,44.73,6.93,9.23,3.95,12.61
255,2004-12-23,22.9,23.8,44.97,7.01,9.15,4.03,12.42
256,2004-12-24,,,,,,,
257,2004-12-27,22.97,24.08,45.04,7.17,9.24,4.11,12.52
258,2004-12-28,22.61,24.01,44.69,7.07,9.19,4.03,12.53
259,2004-12-29,22.49,23.81,44.43,6.99,9.13,4.0,12.45
260,2004-12-30,22.79,24.06,44.54,7.01,9.09,3.97,12.27
261,2004-12-31,22.9,24.22,44.41,7.04,9.27,3.93,12.48
262,2005-01-03,22.13,23.56,42.36,6.76,8.95,3.78,12.11
263,2005-01-04,21.56,22.89,41.57,6.79,8.76,3.61,12.04
264,2005-01-05,21.6,22.59,41.67,6.67,9.02,3.59,12.25
265,2005-01-06,21.17,21.91,41.6,6.63,9.33,3.5,12.61
266,2005-01-07,21.45,21.98,41.5,6.65,9.41,3.53,12.72
267,2005-01-10,21.82,22.35,41.66,6.78,9.55,3.66,12.7
268,2005-01-11,21.89,22.59,42.44,6.81,9.33,3.68,12.63
269,2005-01-12,22.14,22.44,42.77,6.84,9.3,3.61,12.55
270,2005-01-13,21.73,22.19,42.29,6.81,9.16,3.6,12.33
271,2005-01-14,21.54,22.15,41.87,6.66,8.97,3.59,12.18
272,2005-01-17,,,,,,,
273,2005-01-18,22.15,22.34,42.46,6.8,8.79,3.72,11.73
274,2005-01-19,21.9,22.27,42.32,6.77,8.64,3.63,11.76
275,2005-01-20,21.79,22.13,41.76,6.86,8.65,3.67,11.98
276,2005-01-21,22.28,22.61,42.5,7.08,8.95,3.81,12.1
277,2005-01-24,22.11,22.83,42.2,6.9,8.75,3.85,11.84
278,2005-01-25,21.81,22.15,41.62,6.69,8.39,3.66,11.35
279,2005-01-26,21.88,22.24,42.04,6.73,8.25,3.72,11.29
280,2005-01-27,22.02,22.19,42.1,6.72,8.15,3.64,11.34
281,2005-01-28,21.81,22.18,42.0,6.67,8.15,3.54,11.24
282,2005-01-31,21.27,21.86,41.59,6.58,8.13,3.53,11.32
283,2005-02-01,21.5,21.74,41.44,6.65,8.18,3.66,11.5
284,2005-02-02,21.55,22.06,41.56,6.63,8.11,3.76,11.36
285,2005-02-03,21.0,21.92,40.88,6.33,8.0,3.59,11.22
286,2005-02-04,20.79,21.9,41.38,6.27,8.09,3.55,11.26
287,2005-02-07,20.26,21.5,40.54,6.26,7.72,3.38,10.9
288,2005-02-08,20.4,21.53,40.4,6.12,7.74,3.33,10.87
289,2005-02-09,20.65,21.8,40.5,6.31,7.92,3.49,11.04
290,2005-02-10,21.02,22.66,41.39,6.66,8.35,3.84,11.55
291,2005-02-11,20.94,22.94,42.13,6.68,8.5,3.99,11.87
292,2005-02-14,21.77,23.18,42.2,6.78,8.28,4.01,11.8
293,2005-02-15,21.53,23.09,42.34,6.58,8.16,3.9,11.66
294,2005-02-16,21.54,23.27,42.54,6.4,8.04,3.92,11.35
295,2005-02-17,22.0,23.98,42.63,6.26,8.11,4.05,11.75
296,2005-02-18,21.98,24.03,42.47,6.19,8.3,4.08,11.67
297,2005-02-21,,,,,,,
298,2005-02-22,22.52,25.0,44.5,6.7,8.59,4.27,11.98
